ID,Name0,Name1,Name2,Name3,Name4,Artist0,Artist1,Artist2,Artist3,Artist4,BPM0,BPM1,BPM2,BPM3,BPM4,ParentSongIndex,GameVersion,Channel,ActiveMode,SomeBoolean,Length,Padding1,Padding2,
308,Free Style,프리 스타일,Free Style,Free Style,Free Style,BanYa,반야,BanYa,BanYa,BanYa,99,99,99,99,99,4294967295,3,1,2,1,91,4294967295,4294967295,
309,Midnight Blue,미드나잇 블루,Midnight Blue,Midnight Blue,Midnight Blue,BanYa,반야,BanYa,BanYa,BanYa,80,80,80,80,80,4294967295,3,1,2,1,92,4294967295,4294967295,
310,She Likes Pizza,그녀는 피자를 좋아해,She Likes Pizza,She Likes Pizza,She Likes Pizza,BanYa,반야,BanYa,BanYa,BanYa,230,230,230,230,230,4294967295,3,1,2,1,91,4294967295,4294967295,
311,Pumping Up,펌핑 업,Pumping Up,Pumping Up,Pumping Up,BanYa,반야,BanYa,BanYa,BanYa,135,135,135,135,135,4294967295,3,1,2,1,88,4294967295,4294967295,
312,Don't Bother Me,경고,Don't Bother Me,Don't Bother Me,Don't Bother Me,Tashannie,타샤니,Tashannie,Tashannie,Tashannie,110,110,110,110,110,4294967295,3,2,2,1,99,4294967295,4294967295,
318,We Are,우리는,We Are,We Are,We Are,DEUX,듀스,DEUX,DEUX,DEUX,115.9,115.9,115.9,115.9,115.9,4294967295,3,2,2,1,106,4294967295,4294967295,
401,Oh! Rosa!,오! 로사!,Oh! Rosa!,Oh! Rosa!,Oh! Rosa!,BanYa,반야,BanYa,BanYa,BanYa,148,148,148,148,148,4294967295,4,1,2,1,101,4294967295,4294967295,
402,First Love,첫사랑,First Love,First Love,First Love,BanYa,반야,BanYa,BanYa,BanYa,103.1,103.1,103.1,103.1,103.1,4294967295,4,1,2,1,93,4294967295,4294967295,
403,Betrayer,사랑가,Betrayer,Betrayer,Betrayer,BanYa,반야,BanYa,BanYa,BanYa,92,92,92,92,92,4294967295,4,1,2,1,96,4294967295,4294967295,
404,Solitary,무혼,Solitary,Solitary,Solitary,BanYa,반야,BanYa,BanYa,BanYa,136,136,136,136,136,4294967295,4,1,2,1,101,4294967295,4294967295,
405,Mr. Larpus,미스터 라푸스,Mr. Larpus,Mr. Larpus,Mr. Larpus,BanYa,반야,BanYa,BanYa,BanYa,190,190,190,190,190,4294967295,4,1,2,1,99,4294967295,4294967295,
413,RUN!,뛰어봐!,RUN!,RUN!,RUN!,Novasonic,노바소닉,Novasonic,Novasonic,Novasonic,140,140,140,140,140,4294967295,4,2,2,1,99,4294967295,4294967295,
414,Run to you,런 투 유,Run to you,Run to you,Run to you,DJ DOC,DJ DOC,DJ DOC,DJ DOC,DJ DOC,132,132,132,132,132,4294967295,4,2,2,1,97,4294967295,4294967295,
501,Pump Jump,펌프 점프,Pump Jump,Pump Jump,Pump Jump,BanYa,반야,BanYa,BanYa,BanYa,106,106,106,106,106,4294967295,5,1,2,1,96,4294967295,4294967295,
502,N,엔,N,N,N,BanYa,반야,BanYa,BanYa,BanYa,106,106,106,106,106,4294967295,5,1,2,1,101,4294967295,4294967295,
503,Rolling Christmas,롤링 크리스마스,Rolling Christmas,Rolling Christmas,Rolling Christmas,BanYa,반야,BanYa,BanYa,BanYa,142,142,142,142,142,4294967295,5,1,2,1,99,4294967295,4294967295,
504,All I Want For X-mas,올 아이 원트 포 크리스마스,All I Want For X-mas,All I Want For X-mas,All I Want For X-mas,BanYa,반야,BanYa,BanYa,BanYa,130,130,130,130,130,4294967295,5,1,2,1,101,4294967295,4294967295,
505,Beethoven Virus,베토벤 바이러스,Beethoven Virus,Beethoven Virus,Beethoven Virus,BanYa,반야,BanYa,BanYa,BanYa,162,162,162,162,162,4294967295,5,1,2,1,100,4294967295,4294967295,
516,Slam,슬램,Slam,Slam,Slam,Novasonic,노바소닉,Novasonic,Novasonic,Novasonic,131.99,131.99,131.99,131.99,131.99,4294967295,5,2,2,1,98,4294967295,4294967295,
701,Dr. M,닥터 엠,Dr. M,Dr. M,Dr. M,BanYa,반야,BanYa,BanYa,BanYa,145,145,145,145,145,4294967295,8,1,2,1,99,4294967295,4294967295,
702,Emperor,엠페러,Emperor,Emperor,Emperor,BanYa,반야,BanYa,BanYa,BanYa,150,150,150,150,150,4294967295,8,1,2,1,111,4294967295,4294967295,
703,Get Your Groove On,겟 유어 그루브 온,Get Your Groove On,Get Your Groove On,Get Your Groove On,BanYa,반야,BanYa,BanYa,BanYa,96,96,96,96,96,4294967295,8,1,2,1,107,4294967295,4294967295,
704,Love is a Danger Zone,러브 이즈 어 댄저 존,Love is a Danger Zone,Love is a Danger Zone,Love is a Danger Zone,BanYa,반야,BanYa,BanYa,BanYa,140,140,140,140,140,4294967295,8,1,2,1,100,4294967295,4294967295,
705,Maria,마리아,Maria,Maria,Maria,BanYa,반야,BanYa,BanYa,BanYa,136,136,136,136,136,4294967295,8,1,2,1,106,4294967295,4294967295,
706,Mission Possible,미션 파서블,Mission Possible,Mission Possible,Mission Possible,BanYa,반야,BanYa,BanYa,BanYa,124,124,124,124,124,4294967295,8,1,2,1,98,4294967295,4294967295,
707,My Way,마이 웨이,My Way,My Way,My Way,BanYa,반야,BanYa,BanYa,BanYa,118,118,118,118,118,4294967295,8,1,2,1,98,4294967295,4294967295,
708,Point Break,포인트 브레이크,Point Break,Point Break,Point Break,BanYa,반야,BanYa,BanYa,BanYa,92,92,92,92,92,4294967295,8,1,2,1,101,4294967295,4294967295,
709,Street Show Down,스트리트 쇼 다운,Street Show Down,Street Show Down,Street Show Down,BanYa,반야,BanYa,BanYa,BanYa,124,124,124,124,124,4294967295,8,1,2,1,96,4294967295,4294967295,
710,Top City,탑 시티,Top City,Top City,Top City,BanYa,반야,BanYa,BanYa,BanYa,110.73,110.73,110.73,110.73,110.73,4294967295,8,1,2,1,92,4294967295,4294967295,
711,Winter,윈터,Winter,Winter,Winter,BanYa,반야,BanYa,BanYa,BanYa,168,168,168,168,168,4294967295,8,1,2,1,84,4294967295,4294967295,
712,Will-O-The-Wisp,윌 오 더 위스프,Will-O-The-Wisp,Will-O-The-Wisp,Will-O-The-Wisp,BanYa,반야,BanYa,BanYa,BanYa,210,210,210,210,210,4294967295,8,1,2,1,91,4294967295,4294967295,
713,Till the end of time,틸 디 엔드 오브 타임,Till the end of time,Till the end of time,Till the end of time,BanYa,반야,BanYa,BanYa,BanYa,140,140,140,140,140,4294967295,8,1,2,1,107,4294967295,4294967295,
714,Oy Oy Oy,오이 오이 오이,Oy Oy Oy,Oy Oy Oy,Oy Oy Oy,BanYa,반야,BanYa,BanYa,BanYa,148,148,148,148,148,4294967295,8,1,2,1,88,4294967295,4294967295,
715,We will meet again,위 윌 밋 어게인,We will meet again,We will meet again,We will meet again,BanYa,반야,BanYa,BanYa,BanYa,118,118,118,118,118,4294967295,8,1,2,1,96,4294967295,4294967295,
716,Miss S' Story,미스 에스 스토리,Miss S' Story,Miss S' Story,Miss S' Story,BanYa,반야,BanYa,BanYa,BanYa,111,111,111,111,111,4294967295,8,1,2,1,101,4294967295,4294967295,
717,Set me up,셋 미 업,Set me up,Set me up,Set me up,BanYa,반야,BanYa,BanYa,BanYa,120,120,120,120,120,4294967295,8,1,2,1,104,4294967295,4294967295,
718,Dance with me,댄스 위드 미,Dance with me,Dance with me,Dance with me,BanYa,반야,BanYa,BanYa,BanYa,122,122,122,122,122,4294967295,8,1,2,1,104,4294967295,4294967295,
735,Vook,부크,Vook,Vook,Vook,BanYa,반야,BanYa,BanYa,BanYa,184,184,184,184,184,4294967295,8,1,2,1,97,4294967295,4294967295,
736,Csikos' Post,우편마차,Csikos' Post,Csikos' Post,Csikos' Post,BanYa,반야,BanYa,BanYa,BanYa,180,180,180,180,180,4294967295,8,1,2,1,104,4294967295,4294967295,
802,Bee,비,Bee,Bee,Bee,BanYa,반야,BanYa,BanYa,BanYa,160,160,160,160,160,4294967295,10,1,2,1,87,4294967295,4294967295,
807,D Gang,디 갱,D Gang,D Gang,D Gang,BanYa,반야,BanYa,BanYa,BanYa,150,150,150,150,150,4294967295,10,1,2,1,95,4294967295,4294967295,
811,Hello,헬로,Hello,Hello,Hello,BanYa,반야,BanYa,BanYa,BanYa,140,140,140,140,140,4294967295,10,1,2,1,91,4294967295,4294967295,
820,Beat of The War,비트 오브 더 워,Beat of The War,Beat of The War,Beat of The War,BanYa,반야,BanYa,BanYa,BanYa,202,202,202,202,202,4294967295,10,1,2,1,93,4294967295,4294967295,
821,Empire of the sun,태양의 나라,Empire of the sun,Empire of the sun,Empire of the sun,NOVASONIC,노바소닉,NOVASONIC,NOVASONIC,NOVASONIC,118,118,118,118,118,4294967295,10,2,2,1,100,4294967295,4294967295,
826,Come to Me,컴 투 미,Come to Me,Come to Me,Come to Me,BanYa,반야,BanYa,BanYa,BanYa,107,107,107,107,107,4294967295,10,1,2,1,97,4294967295,4294967295,
906,Starian,스타리안,Starian,Starian,Starian,DUKE,듀크,DUKE,DUKE,DUKE,134.9,134.9,134.9,134.9,134.9,4294967295,6,2,2,1,97,4294967295,4294967295,
909,Mistake,자책,Mistake,Mistake,Mistake,U-Too,유투,U-Too,U-Too,U-Too,110,110,110,110,110,4294967295,6,2,2,1,98,4294967295,4294967295,
911,Chicken Wing,치킨 윙,Chicken Wing,Chicken Wing,Chicken Wing,BanYa,반야,BanYa,BanYa,BanYa,200,200,200,200,200,4294967295,6,1,2,1,98,4294967295,4294967295,
922,Final Audition Ep. 1,파이널 오디션 에피소드 1,Final Audition Ep. 1,Final Audition Ep. 1,Final Audition Ep. 1,BanYa,반야,BanYa,BanYa,BanYa,189,189,189,189,189,4294967295,6,1,2,1,102,4294967295,4294967295,
A01,Final Audition 3,파이널 오디션 3,Final Audition 3,Final Audition 3,Final Audition 3,BanYa,반야,BanYa,BanYa,BanYa,130.5,130.5,130.5,130.5,130.5,4294967295,11,1,2,1,104,4294967295,4294967295,
A02,Naissance 2,태동 2,Naissance 2,Naissance 2,Naissance 2,BanYa,반야,BanYa,BanYa,BanYa,129,129,129,129,129,4294967295,11,1,2,1,103,4294967295,4294967295,
A03,Monkey Fingers,몽키 핑거즈,Monkey Fingers,Monkey Fingers,Monkey Fingers,BanYa,반야,BanYa,BanYa,BanYa,186,186,186,186,186,4294967295,11,1,2,1,100,4294967295,4294967295,
A04,Blazing,블레이징,Blazing,Blazing,Blazing,BanYa,반야,BanYa,BanYa,BanYa,158,158,158,158,158,4294967295,11,1,2,1,99,4294967295,4294967295,
A05,Pump me Amadeus,펌프 미 아마데우스,Pump me Amadeus,Pump me Amadeus,Pump me Amadeus,BanYa,반야,BanYa,BanYa,BanYa,170,170,170,170,170,4294967295,11,1,2,1,99,4294967295,4294967295,
A06,X Treme,엑스트림,X Treme,X Treme,X Treme,BanYa,반야,BanYa,BanYa,BanYa,162,162,162,162,162,4294967295,11,1,2,1,102,4294967295,4294967295,
A07,Get Up!,겟 업!,Get Up!,Get Up!,Get Up!,BanYa,반야,BanYa,BanYa,BanYa,180,180,180,180,180,4294967295,11,1,2,1,94,4294967295,4294967295,
A08,Dignity,디그니티,Dignity,Dignity,Dignity,Crash,크래쉬,Crash,Crash,Crash,195,195,195,195,195,4294967295,11,2,2,1,109,4294967295,4294967295,
A11,What Do You Really Want?,니가 진짜로 원하는게 뭐야?,What Do You Really Want?,What Do You Really Want?,What Do You Really Want?,Crash,크래쉬,Crash,Crash,Crash,110,110,110,110,110,4294967295,11,2,2,1,101,4294967295,4294967295,
A12,Go,가,Go,Go,Go,U;NEE,유니,U;NEE,U;NEE,U;NEE,138,138,138,138,138,4294967295,11,2,2,1,106,4294967295,4294967295,
B02,HOT,HOT뜨거,HOT,HOT,HOT,1Tym,원타임,1Tym,1Tym,1Tym,98,98,98,98,98,4294967295,12,2,2,1,103,4294967295,4294967295,
B06,Deja Vu,예지몽,Deja Vu,Deja Vu,Deja Vu,SOM2,솜2,SOM2,SOM2,SOM2,115,115,115,115,115,4294967295,12,2,2,1,102,4294967295,4294967295,
B06F,Deja Vu,예지몽,Deja Vu,Deja Vu,Deja Vu,SOM2,솜2,SOM2,SOM2,SOM2,115,115,115,115,115,4294967295,12,2,4,1,208,4294967295,4294967295,
B08,Lion's roar,사자후,Lion's roar,Lion's roar,Lion's roar,D.O,이현도,D.O,D.O,D.O,126,126,126,126,126,4294967295,12,2,2,1,97,4294967295,4294967295,
B13,I'll Give You All My Love,내게 남은 사랑을 다 줄께,I'll Give You All My Love,I'll Give You All My Love,I'll Give You All My Love,Wax,왁스,Wax,Wax,Wax,164,164,164,164,164,4294967295,12,2,2,1,97,4294967295,4294967295,
B16,J Bong,제이 봉,J Bong,J Bong,J Bong,BanYa,반야,BanYa,BanYa,BanYa,140,140,140,140,140,4294967295,12,1,2,1,92,4294967295,4294967295,
B17,Hi Bi,하이 바이,Hi Bi,Hi Bi,Hi Bi,BanYa,반야,BanYa,BanYa,BanYa,145,145,145,145,145,4294967295,12,1,2,1,95,4294967295,4294967295,
B18,Solitary 2,무혼 2,Solitary 2,Solitary 2,Solitary 2,BanYa,반야,BanYa,BanYa,BanYa,136,136,136,136,136,4294967295,12,1,2,1,109,4294967295,4294967295,
B19,Canon D,캐논 디,Canon D,Canon D,Canon D,BanYa,반야,BanYa,BanYa,BanYa,160,160,160,160,160,4294967295,12,1,2,1,103,4294967295,4294967295,
B26,NOVARASH REMIX,노바래쉬 리믹스,NOVARASH REMIX,NOVARASH REMIX,NOVARASH REMIX,Novasonic/Crash,노바소닉/크래쉬,Novasonic/Crash,Novasonic/Crash,Novasonic/Crash,118,118,118,118,118,4294967295,12,2,3,1,155,4294967295,4294967295,
B28,Tream Vook of the war REMIX,트림 북 오브 더 워 리믹스,Tream Vook of the war REMIX,Tream Vook of the war REMIX,Tream Vook of the war REMIX,BanYa,반야,BanYa,BanYa,BanYa,202,202,202,202,202,4294967295,12,1,3,1,164,4294967295,4294967295,
B29,Banya Classic Remix,반야 클래식 리믹스,Banya Classic Remix,Banya Classic Remix,Banya Classic Remix,BanYa,반야,BanYa,BanYa,BanYa,170,170,170,170,170,4294967295,12,1,3,1,147,4294967295,4294967295,
B51,DIGNITY FULL SONG MIX,디그니티 풀 송 믹스,DIGNITY FULL SONG MIX,DIGNITY FULL SONG MIX,DIGNITY FULL SONG MIX,Crash,크래쉬,Crash,Crash,Crash,195,195,195,195,195,4294967295,12,2,4,1,155,4294967295,4294967295,
B56,BANYA HIPHOP REMIX,반야 힙합 리믹스,BANYA HIPHOP REMIX,BANYA HIPHOP REMIX,BANYA HIPHOP REMIX,BanYa,반야,BanYa,BanYa,BanYa,99,99,99,99,99,4294967295,12,1,3,1,160,4294967295,4294967295,
B57,Canon D FULL Song MIX,캐논 디 풀 송 믹스,Canon D FULL Song MIX,Canon D FULL Song MIX,Canon D FULL Song MIX,BanYa,반야,BanYa,BanYa,BanYa,160,160,160,160,160,4294967295,12,1,4,1,198,4294967295,4294967295,
BF001,Mission Possible -Blow Back-,미션 파서블 -블로우 백-,Mission Possible -Blow Back-,Mission Possible -Blow Back-,Mission Possible -Blow Back-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,128,128,128,128,128,29,18,1,2,0,0,4294967295,4294967295,
BF002,Innocent,순정,Innocent,Innocent,Innocent,koyote,코요태,koyote,koyote,koyote,137,137,137,137,137,11,18,2,2,0,0,4294967295,4294967295,
BF003,First Love,첫사랑,First Love,First Love,First Love,BanYa,반야,BanYa,BanYa,BanYa,103.1,103.1,103.1,103.1,103.1,247,4,1,2,0,0,4294967295,4294967295,
BF004,Oh! Rosa!,오! 로사!,Oh! Rosa!,Oh! Rosa!,Oh! Rosa!,BanYa,반야,BanYa,BanYa,BanYa,148,148,148,148,148,246,4,1,2,0,0,4294967295,4294967295,
BF005,Com'Back,컴 백,Com'Back,Com'Back,Com'Back,Sechs Kies,젝스키스,Sechs Kies,Sechs Kies,Sechs Kies,158,158,158,158,158,232,2,2,2,0,0,4294967295,4294967295,
BF006,Pump me Amadeus,펌프 미 아마데우스,Pump me Amadeus,Pump me Amadeus,Pump me Amadeus,BanYa,반야,BanYa,BanYa,BanYa,170,170,170,170,170,293,11,1,2,0,0,4294967295,4294967295,
BF007,Toccata,토카타,Toccata,Toccata,Toccata,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,104,104,104,104,104,768,17,1,2,0,0,4294967295,4294967295,
BF008,Caprice of Otada,카프리스 오브 오타다,Caprice of Otada,Caprice of Otada,Caprice of Otada,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,160,160,160,160,160,480,16,1,2,0,0,4294967295,4294967295,
BF009,Procedimientos Para Llegar A Un Común Acuerdo,잘가 내 사랑,Procedimientos Para Llegar A Un Común Acuerdo,Procedimientos Para Llegar A Un Común Acuerdo,Procedimientos Para Llegar A Un Común Acuerdo,PXNDX,판다,PXNDX,PXNDX,PXNDX,160,160,160,160,160,760,17,3,2,0,0,4294967295,4294967295,
BF010,Final Audition,파이널 오디션,Final Audition,Final Audition,Final Audition,BanYa,반야,BanYa,BanYa,BanYa,130.5,130.5,130.5,130.5,130.5,230,2,1,2,0,0,4294967295,4294967295,
BF011,Enjoy! Enjoy!,노세 놀아보세,Enjoy! Enjoy!,Enjoy! Enjoy!,Enjoy! Enjoy!,Mu.Ga.Dang,무가당,Mu.Ga.Dang,Mu.Ga.Dang,Mu.Ga.Dang,138,138,138,138,138,12,18,2,2,0,0,4294967295,4294967295,
BF012,The angel who lost wings,날개 잃은 천사,The angel who lost wings,The angel who lost wings,The angel who lost wings,Roo'Ra,룰라,Roo'Ra,Roo'Ra,Roo'Ra,135,135,135,135,135,10,18,2,2,0,0,4294967295,4294967295,
BF013,Rolling Christmas,롤링 크리스마스,Rolling Christmas,Rolling Christmas,Rolling Christmas,BanYa,반야,BanYa,BanYa,BanYa,142,142,142,142,142,255,5,1,2,0,0,4294967295,4294967295,
BF014,Pumptris 8Bit ver.,펌트리스 8비트 ver.,Pumptris 8Bit ver.,Pumptris 8Bit ver.,Pumptris 8Bit ver.,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,162,162,162,162,162,793,17,1,2,0,0,4294967295,4294967295,
BF015,Good Life,굿 라이프,Good Life,Good Life,Good Life,Drunken Tiger,드렁큰 타이거,Drunken Tiger,Drunken Tiger,Drunken Tiger,98.2,98.2,98.2,98.2,98.2,4,18,2,2,0,0,4294967295,4294967295,
BF016,Naissance,태동,Naissance,Naissance,Naissance,BanYa,반야,BanYa,BanYa,BanYa,136,136,136,136,136,236,3,1,2,0,0,4294967295,4294967295,
BF017,Bee,비,Bee,Bee,Bee,BanYa,반야,BanYa,BanYa,BanYa,160,160,160,160,160,279,10,1,2,0,0,4294967295,4294967295,
BF018,Final Audition 3,파이널 오디션 3,Final Audition 3,Final Audition 3,Final Audition 3,BanYa,반야,BanYa,BanYa,BanYa,130.5,130.5,130.5,130.5,130.5,289,11,1,2,0,0,4294967295,4294967295,
BF019,Love is a Danger Zone,러브 이즈 어 댄저 존,Love is a Danger Zone,Love is a Danger Zone,Love is a Danger Zone,BanYa,반야,BanYa,BanYa,BanYa,140,140,140,140,140,262,8,1,2,0,0,4294967295,4294967295,
BF020,Phantom -Intermezzo-,팬텀 -인터메조-,Phantom -Intermezzo-,Phantom -Intermezzo-,Phantom -Intermezzo-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,140,140,140,140,140,28,18,1,2,0,0,4294967295,4294967295,
BF021,Will-O-The-Wisp,윌 오 더 위스프,Will-O-The-Wisp,Will-O-The-Wisp,Will-O-The-Wisp,BanYa,반야,BanYa,BanYa,BanYa,210,210,210,210,210,270,8,1,2,0,0,4294967295,4294967295,
BF022,Blazing,블레이징,Blazing,Blazing,Blazing,BanYa,반야,BanYa,BanYa,BanYa,158,158,158,158,158,292,11,1,2,0,0,4294967295,4294967295,
BF023,Witch Doctor,위치 닥터,Witch Doctor,Witch Doctor,Witch Doctor,BanYa,반야,BanYa,BanYa,BanYa,195,195,195,195,195,365,14,1,2,0,0,4294967295,4294967295,
BF024,Vook,부크,Vook,Vook,Vook,BanYa,반야,BanYa,BanYa,BanYa,184,184,184,184,184,277,8,1,2,0,0,4294967295,4294967295,
BF025,Final Audition Ep. 2-X,파이널 오디션 에피소드 2-X,Final Audition Ep. 2-X,Final Audition Ep. 2-X,Final Audition Ep. 2-X,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,170,170,170,170,170,771,17,1,2,0,0,4294967295,4294967295,
BF026,Do It!,두 잇!,Do It!,Do It!,Do It!,House Rules,하우스 룰즈,House Rules,House Rules,House Rules,129,129,129,129,129,769,17,2,2,0,0,4294967295,4294967295,
BF027,Sorceress Eliese,소서리스 엘리제,Sorceress Eliese,Sorceress Eliese,Sorceress Eliese,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,158,158,158,158,158,2,18,1,2,0,0,4294967295,4294967295,
BF028,Wanna,워너,Wanna,Wanna,Wanna,Kara,카라,Kara,Kara,Kara,161,161,161,161,161,16,18,2,2,0,0,4294967295,4294967295,
BF029,Fire,화이어,Fire,Fire,Fire,2NE1,2NE1,2NE1,2NE1,2NE1,126,126,126,126,126,15,18,2,2,0,0,4294967295,4294967295,
BF030,Till the end of time,틸 디 엔드 오브 타임,Till the end of time,Till the end of time,Till the end of time,BanYa,반야,BanYa,BanYa,BanYa,140,140,140,140,140,271,8,1,2,0,0,4294967295,4294967295,
BF032,Hello William,안녕 윌리엄,Hello William,Hello William,Hello William,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,170,170,170,170,170,25,18,1,2,0,0,4294967295,4294967295,
BF033,By chance,우연,By chance,By chance,By chance,Baby V.O.X,베이비복스,Baby V.O.X,Baby V.O.X,Baby V.O.X,127,127,127,127,127,7,18,2,2,0,0,4294967295,4294967295,
BF034,Turkey March -Minimal Tunes-,터키 행진곡 -미니멀튠즈-,Turkey March -Minimal Tunes-,Turkey March -Minimal Tunes-,Turkey March -Minimal Tunes-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,130,130,130,130,130,26,18,1,2,0,0,4294967295,4294967295,
BF035,Tek -Club Copenhagen-,테크 -클럽 코펜하겐-,Tek -Club Copenhagen-,Tek -Club Copenhagen-,Tek -Club Copenhagen-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,132,132,132,132,132,24,18,1,2,0,0,4294967295,4294967295,
BF036,Big Beat,빅 비트,Big Beat,Big Beat,Big Beat,NOW,나우,NOW,NOW,NOW,104,104,104,104,104,5,18,2,2,0,0,4294967295,4294967295,
BF037,To the sky,하늘위로,To the sky,To the sky,To the sky,LEXY,렉시,LEXY,LEXY,LEXY,130,130,130,130,130,9,18,2,2,0,0,4294967295,4294967295,
BF038,Pumping Jumping,펌핑 점핑,Pumping Jumping,Pumping Jumping,Pumping Jumping,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,116,116,116,116,116,30,18,1,2,0,0,4294967295,4294967295,
BF039,Maria,마리아,Maria,Maria,Maria,BanYa,반야,BanYa,BanYa,BanYa,136,136,136,136,136,263,8,1,2,0,0,4294967295,4294967295,
BF040,Get Up (and go),겟 업 (앤 고),Get Up (and go),Get Up (and go),Get Up (and go),Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,164,164,164,164,164,27,18,1,2,0,0,4294967295,4294967295,
BF041,Chopsticks Challenge,젓가락 변주곡,Chopsticks Challenge,Chopsticks Challenge,Chopsticks Challenge,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,128,128,128,128,128,752,17,1,2,0,0,4294967295,4294967295,
BF042,Final Audition Ep. 2-1,파이널 오디션 에피소드 2-1,Final Audition Ep. 2-1,Final Audition Ep. 2-1,Final Audition Ep. 2-1,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,170,170,170,170,170,392,15,1,2,0,0,4294967295,4294967295,
BF043,Chimera,키메라,Chimera,Chimera,Chimera,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,210,210,210,210,210,381,15,1,2,0,0,4294967295,4294967295,
BF044,K.O.A : Alice In Wonderworld,케이.오.에이 : Alice In Wonderworld,K.O.A : Alice In Wonderworld,K.O.A : Alice In Wonderworld,K.O.A : Alice In Wonderworld,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,156,156,156,156,156,766,17,1,2,0,0,4294967295,4294967295,
BF045,Xenesis,제네시스,Xenesis,Xenesis,Xenesis,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,152,152,152,152,152,22,18,1,2,0,0,4294967295,4294967295,
BF046,Panuelito Rojo,붉은 손수건,Panuelito Rojo,Panuelito Rojo,Panuelito Rojo,Big metra,빅 메트라,Big metra,Big metra,Big metra,196,196,196,196,196,759,17,3,2,0,0,4294967295,4294967295,
BF047,U Got 2 Know,유 갓 투 노우,U Got 2 Know,U Got 2 Know,U Got 2 Know,MAX,맥스,MAX,MAX,MAX,127,127,127,127,127,8,18,1,2,0,0,4294967295,4294967295,
BF048,Love is a Danger Zone pt. 2,러브 이즈 어 댄저 존 pt.2,Love is a Danger Zone pt. 2,Love is a Danger Zone pt. 2,Love is a Danger Zone pt. 2,BanYa,반야,BanYa,BanYa,BanYa,162,162,162,162,162,367,14,1,2,0,0,4294967295,4294967295,
BF049,Cannon X.1,캐논 X.1,Cannon X.1,Cannon X.1,Cannon X.1,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,185,185,185,185,185,751,17,1,2,0,0,4294967295,4294967295,
BF050,XTREE,엑스트리,XTREE,XTREE,XTREE,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,190,190,190,190,190,1,18,1,2,0,0,4294967295,4294967295,
C01,Beat of The War 2,비트 오브 더 워 2,Beat of The War 2,Beat of The War 2,Beat of The War 2,BanYa,반야,BanYa,BanYa,BanYa,190,190,190,190,190,4294967295,14,1,2,1,114,4294967295,4294967295,
C02,Moonlight,월광,Moonlight,Moonlight,Moonlight,BanYa,반야,BanYa,BanYa,BanYa,180,180,180,180,180,4294967295,14,1,2,1,102,4294967295,4294967295,
C03,Witch Doctor,위치 닥터,Witch Doctor,Witch Doctor,Witch Doctor,BanYa,반야,BanYa,BanYa,BanYa,195,195,195,195,195,4294967295,14,1,2,1,91,4294967295,4294967295,
C03A,Witch Docva,위치 닥바,Witch Docva,Witch Docva,Witch Docva,BanYa,반야,BanYa,BanYa,BanYa,195,195,195,195,195,4294967295,12,1,2,1,101,4294967295,4294967295,
C04,Love is a Danger Zone pt. 2,러브 이즈 어 댄저 존 pt.2,Love is a Danger Zone pt. 2,Love is a Danger Zone pt. 2,Love is a Danger Zone pt. 2,BanYa,반야,BanYa,BanYa,BanYa,162,162,162,162,162,4294967295,14,1,2,1,102,4294967295,4294967295,
C05,Phantom,팬텀,Phantom,Phantom,Phantom,BanYa,반야,BanYa,BanYa,BanYa,136,136,136,136,136,4294967295,14,1,2,1,97,4294967295,4294967295,
C05A,Phantom,팬텀,Phantom,Phantom,Phantom,BanYa,반야,BanYa,BanYa,BanYa,162,162,162,162,162,4294967295,12,1,2,1,98,4294967295,4294967295,
C06,Papa Gonzales,파파 곤잘레스,Papa Gonzales,Papa Gonzales,Papa Gonzales,BanYa,반야,BanYa,BanYa,BanYa,145,145,145,145,145,4294967295,14,1,2,1,91,4294967295,4294967295,
C09,My Friend,친구여,My Friend,My Friend,My Friend,Cho PD,조 PD,Cho PD,Cho PD,Cho PD,127,127,127,127,127,4294967295,14,2,2,1,91,4294967295,4294967295,
C14,Chung Hwa Ban Jeom,중화반점,Chung Hwa Ban Jeom,Chung Hwa Ban Jeom,Chung Hwa Ban Jeom,Louis,루이스,Louis,Louis,Louis,149.5,149.5,149.5,149.5,149.5,4294967295,14,2,2,1,100,4294967295,4294967295,
